iter	Passed	Remaining
916	1762	159
917	1763	157
918	1764	155
919	1766	153
920	1767	151
921	1769	149
922	1770	147
923	1771	145
924	1773	143
925	1774	141
926	1776	139
927	1777	137
928	1779	135
929	1780	134
930	1781	132
931	1783	130
932	1784	128
933	1786	126
934	1787	124
935	1789	122
936	1790	120
937	1792	118
938	1793	116
939	1795	114
940	1797	112
941	1798	110
942	1800	108
943	1801	106
944	1803	104
945	1804	103
946	1806	101
947	1807	99
948	1809	97
949	1810	95
950	1812	93
951	1813	91
952	1815	89
953	1816	87
954	1818	85
955	1819	83
956	1820	81
957	1822	79
958	1824	77
959	1825	76
960	1827	74
961	1828	72
962	1830	70
963	1831	68
964	1833	66
965	1834	64
966	1835	62
967	1837	60
968	1838	58
969	1840	56
970	1841	55
971	1843	53
972	1844	51
973	1846	49
974	1847	47
975	1849	45
976	1851	43
977	1852	41
978	1854	39
979	1855	37
980	1857	35
981	1858	34
982	1859	32
983	1861	30
984	1862	28
985	1864	26
986	1865	24
987	1867	22
988	1868	20
989	1870	18
990	1871	16
991	1872	15
992	1873	13
993	1874	11
994	1876	9
995	1877	7
996	1879	5
997	1880	3
998	1881	1
999	1883	0
